No.,분류,처방명,별명,구성,[등록]
230,임의합방,시함마농,,시함마+배농산급탕,+?/?-
231,임의합방,시함박농,,시함박+배농산급탕,+?/?-
232,임의합방,시갈탕,,소시호탕+갈근탕,+?/?-
233,,시함갈,,소시호탕+소함흉탕+갈근탕,+?/?-
234,후세방,귀비온담탕,,귀비탕+온담탕,+?/?-
235,배방,백호2,,석고:64/지모:24/갱미:18/자감초:4,+?/?-
236,배방,백호3,,석고:96/지모:36/갱미:18/자감초:4,+?/?-
237,다이어트,요요방지탕1,요요방지1,의이인:210/숙지황:112/용안육:84/당귀:84/황기:84/괄루근:56/산약:56/상백피:56/귤피:56/천궁:42,+?/?-
238,배방,백인2,,석고:64/지모:24/갱미:18/자감초:4/인삼:6,+?/?-
239,배방,백인3,,석고:96/지모:36/갱미:18/자감초:4/인삼:6,+?/?-
240,마황제,사간마황탕,,사간:6/마황:8/생강:8/세신:6/자완:6/관동화:6/오미자:6/대추:3/반하:16,+?/?-
241,마황제,후박마황탕,,후박:10/마황:8/석고:20/행인:8/반하:16/건강:4/세신:4/부소맥:28/오미자:6,+?/?-
242,창방,보골신기환,,건지황:16/산약:8/산수유:8/복령:6/택사:6/목단피:6/우슬:4/두충:4,+?/?-
243,창방,어혈시령탕,,시령탕+계지복령환,+?/?-
